,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
0,1,0.4722,,,,zr,data_S10.csv,0.0002
1,2,0.9214,speed,,,a,data_S10.csv,0.0002
2,3,-2.1294,speed,5.0,left,v,data_S10.csv,0.0002
3,4,0.2564,speed,,,t0,data_S10.csv,0.0002
4,5,-0.3837,speed,3.0,left,v,data_S10.csv,0.0002
5,6,0.7073,speed,2.0,right,v,data_S10.csv,0.0002
6,7,0.5212,speed,1.0,right,v,data_S10.csv,0.0002
7,8,1.331,speed,3.0,right,v,data_S10.csv,0.0002
8,9,-1.1943,speed,4.0,left,v,data_S10.csv,0.0002
9,10,0.2839,speed,2.0,left,v,data_S10.csv,0.0002
10,11,0.528,speed,1.0,left,v,data_S10.csv,0.0002
11,12,2.3199,speed,5.0,right,v,data_S10.csv,0.0002
12,13,2.0472,speed,4.0,right,v,data_S10.csv,0.0002
13,14,1.0832,accuracy,,,a,data_S10.csv,0.0002
14,15,3.4549,accuracy,5.0,right,v,data_S10.csv,0.0002
15,16,0.2932,accuracy,,,t0,data_S10.csv,0.0002
16,17,0.6496,accuracy,1.0,left,v,data_S10.csv,0.0002
17,18,0.5449,accuracy,2.0,right,v,data_S10.csv,0.0002
18,19,2.4541,accuracy,4.0,right,v,data_S10.csv,0.0002
19,20,0.4705,accuracy,1.0,right,v,data_S10.csv,0.0002
20,21,1.4184,accuracy,3.0,right,v,data_S10.csv,0.0002
21,22,-2.2148,accuracy,4.0,left,v,data_S10.csv,0.0002
22,23,-0.6172,accuracy,3.0,left,v,data_S10.csv,0.0002
23,24,-2.3114,accuracy,5.0,left,v,data_S10.csv,0.0002
24,25,0.1241,accuracy,2.0,left,v,data_S10.csv,0.0002
25,1,0.5333,,,,zr,data_S12.csv,0.0
26,2,0.8888,speed,,,a,data_S12.csv,0.0
27,3,0.9862,speed,1.0,right,v,data_S12.csv,0.0
28,4,0.2845,speed,,,t0,data_S12.csv,0.0
29,5,-2.771,speed,5.0,left,v,data_S12.csv,0.0
30,6,2.6549,speed,5.0,right,v,data_S12.csv,0.0
31,7,-0.5527,speed,3.0,left,v,data_S12.csv,0.0
32,8,1.7927,speed,2.0,right,v,data_S12.csv,0.0
33,9,-2.1672,speed,4.0,left,v,data_S12.csv,0.0
34,10,1.397,speed,3.0,right,v,data_S12.csv,0.0
35,11,-0.1424,speed,2.0,left,v,data_S12.csv,0.0
36,12,0.6915,speed,1.0,left,v,data_S12.csv,0.0
37,13,2.4712,speed,4.0,right,v,data_S12.csv,0.0
38,14,1.2035,accuracy,,,a,data_S12.csv,0.0
39,15,2.3143,accuracy,4.0,right,v,data_S12.csv,0.0
40,16,0.4168,accuracy,,,t0,data_S12.csv,0.0
41,17,-0.1774,accuracy,2.0,left,v,data_S12.csv,0.0
42,18,0.2073,accuracy,1.0,right,v,data_S12.csv,0.0
43,19,1.947,accuracy,3.0,right,v,data_S12.csv,0.0
44,20,0.4156,accuracy,2.0,right,v,data_S12.csv,0.0
45,21,0.1565,accuracy,1.0,left,v,data_S12.csv,0.0
46,22,-1.6747,accuracy,3.0,left,v,data_S12.csv,0.0
47,23,-2.4778,accuracy,5.0,left,v,data_S12.csv,0.0
48,24,-2.6209,accuracy,4.0,left,v,data_S12.csv,0.0
49,25,3.0499,accuracy,5.0,right,v,data_S12.csv,0.0
50,1,0.5,,,,zr,data_S8.csv,0.0
51,2,1.3864,accuracy,,,a,data_S8.csv,0.0
52,3,-3.8894,accuracy,5.0,left,v,data_S8.csv,0.0
53,4,0.3693,accuracy,,,t0,data_S8.csv,0.0
54,5,1.8129,accuracy,3.0,right,v,data_S8.csv,0.0
55,6,2.9424,accuracy,4.0,right,v,data_S8.csv,0.0
56,7,-3.0084,accuracy,4.0,left,v,data_S8.csv,0.0
57,8,4.6161,accuracy,5.0,right,v,data_S8.csv,0.0
58,9,-0.0042,accuracy,1.0,left,v,data_S8.csv,0.0
59,10,-1.7021,accuracy,3.0,left,v,data_S8.csv,0.0
60,11,-0.2853,accuracy,2.0,left,v,data_S8.csv,0.0
61,12,0.1785,accuracy,1.0,right,v,data_S8.csv,0.0
62,13,1.1285,accuracy,2.0,right,v,data_S8.csv,0.0
63,14,0.9114,speed,,,a,data_S8.csv,0.0
64,15,-0.0708,speed,2.0,left,v,data_S8.csv,0.0
65,16,0.2902,speed,,,t0,data_S8.csv,0.0
66,17,-0.1414,speed,1.0,left,v,data_S8.csv,0.0
67,18,0.4049,speed,1.0,right,v,data_S8.csv,0.0
68,19,-1.4921,speed,3.0,left,v,data_S8.csv,0.0
69,20,2.3556,speed,3.0,right,v,data_S8.csv,0.0
70,21,-3.2856,speed,5.0,left,v,data_S8.csv,0.0
71,22,5.5241,speed,5.0,right,v,data_S8.csv,0.0
72,23,-2.1785,speed,4.0,left,v,data_S8.csv,0.0
73,24,1.0442,speed,2.0,right,v,data_S8.csv,0.0
74,25,2.3244,speed,4.0,right,v,data_S8.csv,0.0
75,1,0.525,,,,zr,data_S3.csv,0.0
76,2,1.1997,accuracy,,,a,data_S3.csv,0.0
