,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
0,1,0.5,,,,zr,data_S5_1.csv,0.0024
1,2,1.3738,accuracy,,,a,data_S5_1.csv,0.0024
2,3,1.8633,accuracy,3.0,right,v,data_S5_1.csv,0.0024
3,4,0.2931,accuracy,,,t0,data_S5_1.csv,0.0024
4,5,0.0634,accuracy,,,szr,data_S5_1.csv,0.0024
5,6,0.5414,,,,sv,data_S5_1.csv,0.0024
6,7,0.0356,,,,st0,data_S5_1.csv,0.0024
7,8,-3.326,accuracy,5.0,left,v,data_S5_1.csv,0.0024
8,9,4.5835,accuracy,5.0,right,v,data_S5_1.csv,0.0024
9,10,-0.2345,accuracy,2.0,left,v,data_S5_1.csv,0.0024
10,11,0.5837,accuracy,1.0,right,v,data_S5_1.csv,0.0024
11,12,3.7733,accuracy,4.0,right,v,data_S5_1.csv,0.0024
12,13,0.6077,accuracy,1.0,left,v,data_S5_1.csv,0.0024
13,14,-2.6221,accuracy,4.0,left,v,data_S5_1.csv,0.0024
14,15,-0.706,accuracy,3.0,left,v,data_S5_1.csv,0.0024
15,16,0.9778,accuracy,2.0,right,v,data_S5_1.csv,0.0024
16,17,1.0201,speed,,,a,data_S5_1.csv,0.0024
17,18,5.8306,speed,5.0,right,v,data_S5_1.csv,0.0024
18,19,0.2838,speed,,,t0,data_S5_1.csv,0.0024
19,20,0.3014,speed,,,szr,data_S5_1.csv,0.0024
20,21,-1.791,speed,3.0,left,v,data_S5_1.csv,0.0024
21,22,1.488,speed,2.0,right,v,data_S5_1.csv,0.0024
22,23,4.2801,speed,4.0,right,v,data_S5_1.csv,0.0024
23,24,-4.4765,speed,5.0,left,v,data_S5_1.csv,0.0024
24,25,-0.2976,speed,2.0,left,v,data_S5_1.csv,0.0024
25,26,0.3412,speed,1.0,left,v,data_S5_1.csv,0.0024
26,27,-2.6296,speed,4.0,left,v,data_S5_1.csv,0.0024
27,28,2.3643,speed,3.0,right,v,data_S5_1.csv,0.0024
28,29,0.7188,speed,1.0,right,v,data_S5_1.csv,0.0024
29,1,0.5238,,,,zr,data_S9_1.csv,0.0
30,2,1.2479,accuracy,,,a,data_S9_1.csv,0.0
31,3,6.0287,accuracy,5.0,right,v,data_S9_1.csv,0.0
32,4,0.3759,accuracy,,,t0,data_S9_1.csv,0.0
33,5,0.0662,accuracy,,,szr,data_S9_1.csv,0.0
34,6,0.3089,,,,sv,data_S9_1.csv,0.0
35,7,0.1454,,,,st0,data_S9_1.csv,0.0
36,8,-4.3438,accuracy,4.0,left,v,data_S9_1.csv,0.0
37,9,1.8983,accuracy,3.0,right,v,data_S9_1.csv,0.0
38,10,-0.9198,accuracy,1.0,left,v,data_S9_1.csv,0.0
39,11,3.8679,accuracy,4.0,right,v,data_S9_1.csv,0.0
40,12,-0.2298,accuracy,1.0,right,v,data_S9_1.csv,0.0
41,13,-1.4061,accuracy,2.0,left,v,data_S9_1.csv,0.0
42,14,-0.2398,accuracy,2.0,right,v,data_S9_1.csv,0.0
43,15,-2.8608,accuracy,3.0,left,v,data_S9_1.csv,0.0
44,16,-6.1909,accuracy,5.0,left,v,data_S9_1.csv,0.0
45,17,0.9184,speed,,,a,data_S9_1.csv,0.0
46,18,1.7183,speed,3.0,right,v,data_S9_1.csv,0.0
47,19,0.3391,speed,,,t0,data_S9_1.csv,0.0
48,20,0.2542,speed,,,szr,data_S9_1.csv,0.0
49,21,-0.5846,speed,1.0,right,v,data_S9_1.csv,0.0
50,22,-0.4979,speed,2.0,right,v,data_S9_1.csv,0.0
51,23,3.9044,speed,4.0,right,v,data_S9_1.csv,0.0
52,24,-2.487,speed,3.0,left,v,data_S9_1.csv,0.0
53,25,-4.4987,speed,4.0,left,v,data_S9_1.csv,0.0
54,26,-0.8097,speed,1.0,left,v,data_S9_1.csv,0.0
55,27,-1.5778,speed,2.0,left,v,data_S9_1.csv,0.0
56,28,5.9269,speed,5.0,right,v,data_S9_1.csv,0.0
57,29,-6.2598,speed,5.0,left,v,data_S9_1.csv,0.0
58,1,0.5227,,,,zr,data_S3_1.csv,0.0
59,2,1.2895,accuracy,,,a,data_S3_1.csv,0.0
60,3,-3.0313,accuracy,5.0,left,v,data_S3_1.csv,0.0
61,4,0.2925,accuracy,,,t0,data_S3_1.csv,0.0
62,5,0.1317,accuracy,,,szr,data_S3_1.csv,0.0
63,6,0.7518,,,,sv,data_S3_1.csv,0.0
64,7,0.0371,,,,st0,data_S3_1.csv,0.0
65,8,2.4563,accuracy,3.0,right,v,data_S3_1.csv,0.0
66,9,0.2355,accuracy,1.0,left,v,data_S3_1.csv,0.0
67,10,3.9111,accuracy,4.0,right,v,data_S3_1.csv,0.0
68,11,1.2549,accuracy,2.0,right,v,data_S3_1.csv,0.0
69,12,4.4933,accuracy,5.0,right,v,data_S3_1.csv,0.0
70,13,-2.4093,accuracy,4.0,left,v,data_S3_1.csv,0.0
71,14,-0.2287,accuracy,2.0,left,v,data_S3_1.csv,0.0
72,15,-1.1062,accuracy,3.0,left,v,data_S3_1.csv,0.0
73,16,0.8187,accuracy,1.0,right,v,data_S3_1.csv,0.0
74,17,1.0064,speed,,,a,data_S3_1.csv,0.0
75,18,-0.8607,speed,3.0,left,v,data_S3_1.csv,0.0
76,19,0.2725,speed,,,t0,data_S3_1.csv,0.0
77,20,0.4032,speed,,,szr,data_S3_1.csv,0.0
78,21,0.939,speed,2.0,right,v,data_S3_1.csv,0.0
79,22,-0.1359,speed,1.0,left,v,data_S3_1.csv,0.0
80,23,-1.7988,speed,4.0,left,v,data_S3_1.csv,0.0
81,24,4.6601,speed,5.0,right,v,data_S3_1.csv,0.0
82,25,0.1253,speed,2.0,left,v,data_S3_1.csv,0.0
83,26,3.4751,speed,4.0,right,v,data_S3_1.csv,0.0
84,27,-2.7273,speed,5.0,left,v,data_S3_1.csv,0.0
85,28,2.7583,speed,3.0,right,v,data_S3_1.csv,0.0
86,29,0.3796,speed,1.0,right,v,data_S3_1.csv,0.0
87,1,0.5313,,,,zr,data_S1_1.csv,0.0
88,2,0.9393,accuracy,,,a,data_S1_1.csv,0.0
89,3,7.7985,accuracy,5.0,right,v,data_S1_1.csv,0.0
90,4,0.3531,accuracy,,,t0,data_S1_1.csv,0.0
91,5,0.1346,accuracy,,,szr,data_S1_1.csv,0.0
92,6,0.8397,,,,sv,data_S1_1.csv,0.0
93,7,0.0691,,,,st0,data_S1_1.csv,0.0
94,8,0.0923,accuracy,2.0,left,v,data_S1_1.csv,0.0
95,9,-3.4765,accuracy,4.0,left,v,data_S1_1.csv,0.0
96,10,-5.9283,accuracy,5.0,left,v,data_S1_1.csv,0.0
97,11,4.5736,accuracy,4.0,right,v,data_S1_1.csv,0.0
98,12,3.0167,accuracy,3.0,right,v,data_S1_1.csv,0.0
99,13,0.2848,accuracy,1.0,left,v,data_S1_1.csv,0.0
100,14,1.611,accuracy,2.0,right,v,data_S1_1.csv,0.0
101,15,-1.9934,accuracy,3.0,left,v,data_S1_1.csv,0.0
102,16,1.5848,accuracy,1.0,right,v,data_S1_1.csv,0.0
103,17,0.7901,speed,,,a,data_S1_1.csv,0.0
104,18,-0.7982,speed,3.0,left,v,data_S1_1.csv,0.0
105,19,0.288,speed,,,t0,data_S1_1.csv,0.0
106,20,0.4684,speed,,,szr,data_S1_1.csv,0.0
107,21,1.6375,speed,2.0,right,v,data_S1_1.csv,0.0
108,22,6.4626,speed,5.0,right,v,data_S1_1.csv,0.0
109,23,0.7533,speed,1.0,left,v,data_S1_1.csv,0.0
110,24,0.7124,speed,2.0,left,v,data_S1_1.csv,0.0
111,25,-4.7165,speed,5.0,left,v,data_S1_1.csv,0.0
112,26,1.2947,speed,1.0,right,v,data_S1_1.csv,0.0
113,27,2.9688,speed,3.0,right,v,data_S1_1.csv,0.0
114,28,-2.6369,speed,4.0,left,v,data_S1_1.csv,0.0
115,29,4.5955,speed,4.0,right,v,data_S1_1.csv,0.0
116,1,0.5454,,,,zr,data_S12_1.csv,0.0
117,2,0.8084,speed,,,a,data_S12_1.csv,0.0
118,3,1.3392,speed,1.0,right,v,data_S12_1.csv,0.0
119,4,0.3116,speed,,,t0,data_S12_1.csv,0.0
120,5,0.4262,speed,,,szr,data_S12_1.csv,0.0
121,6,0.9277,,,,sv,data_S12_1.csv,0.0
122,7,0.124,,,,st0,data_S12_1.csv,0.0
123,8,-3.1834,speed,5.0,left,v,data_S12_1.csv,0.0
124,9,3.9046,speed,5.0,right,v,data_S12_1.csv,0.0
125,10,-1.0169,speed,3.0,left,v,data_S12_1.csv,0.0
126,11,1.3296,speed,2.0,right,v,data_S12_1.csv,0.0
127,12,-3.1623,speed,4.0,left,v,data_S12_1.csv,0.0
128,13,1.7056,speed,3.0,right,v,data_S12_1.csv,0.0
129,14,-0.1789,speed,2.0,left,v,data_S12_1.csv,0.0
130,15,0.8491,speed,1.0,left,v,data_S12_1.csv,0.0
131,16,2.8289,speed,4.0,right,v,data_S12_1.csv,0.0
132,17,1.26,accuracy,,,a,data_S12_1.csv,0.0
133,18,2.9549,accuracy,4.0,right,v,data_S12_1.csv,0.0
134,19,0.4288,accuracy,,,t0,data_S12_1.csv,0.0
135,20,0.2659,accuracy,,,szr,data_S12_1.csv,0.0
136,21,-0.1707,accuracy,2.0,left,v,data_S12_1.csv,0.0
137,22,0.3583,accuracy,1.0,right,v,data_S12_1.csv,0.0
138,23,2.0954,accuracy,3.0,right,v,data_S12_1.csv,0.0
139,24,0.5079,accuracy,2.0,right,v,data_S12_1.csv,0.0
140,25,0.2825,accuracy,1.0,left,v,data_S12_1.csv,0.0
141,26,-2.0874,accuracy,3.0,left,v,data_S12_1.csv,0.0
142,27,-3.3267,accuracy,5.0,left,v,data_S12_1.csv,0.0
143,28,-3.3235,accuracy,4.0,left,v,data_S12_1.csv,0.0
144,29,3.6487,accuracy,5.0,right,v,data_S12_1.csv,0.0
145,1,0.4737,,,,zr,data_S10_1.csv,0.0009
146,2,0.9266,speed,,,a,data_S10_1.csv,0.0009
147,3,-2.4529,speed,5.0,left,v,data_S10_1.csv,0.0009
148,4,0.2663,speed,,,t0,data_S10_1.csv,0.0009
149,5,0.3084,speed,,,szr,data_S10_1.csv,0.0009
150,6,0.84,,,,sv,data_S10_1.csv,0.0009
151,7,0.1026,,,,st0,data_S10_1.csv,0.0009
152,8,-0.5537,speed,3.0,left,v,data_S10_1.csv,0.0009
153,9,0.8499,speed,2.0,right,v,data_S10_1.csv,0.0009
154,10,0.6535,speed,1.0,right,v,data_S10_1.csv,0.0009
155,11,1.6008,speed,3.0,right,v,data_S10_1.csv,0.0009
156,12,-1.4817,speed,4.0,left,v,data_S10_1.csv,0.0009
157,13,0.2958,speed,2.0,left,v,data_S10_1.csv,0.0009
158,14,0.6404,speed,1.0,left,v,data_S10_1.csv,0.0009
159,15,2.8068,speed,5.0,right,v,data_S10_1.csv,0.0009
160,16,2.4254,speed,4.0,right,v,data_S10_1.csv,0.0009
161,17,1.1134,accuracy,,,a,data_S10_1.csv,0.0009
162,18,3.729,accuracy,5.0,right,v,data_S10_1.csv,0.0009
163,19,0.2966,accuracy,,,t0,data_S10_1.csv,0.0009
164,20,0.0607,accuracy,,,szr,data_S10_1.csv,0.0009
165,21,0.7597,accuracy,1.0,left,v,data_S10_1.csv,0.0009
