corr_ans,trigger,p_right
right,20,.5
right,20,.5
right,20,.5
right,20,.5
right,20,.5
left,10,.5
left,10,.5
left,10,.5
left,10,.5
left,10,.5
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
left,11,.7
left,11,.7
left,11,.7
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
right,22,.3
right,22,.3
right,22,.3
right,20,.5
right,20,.5
right,20,.5
right,20,.5
right,20,.5
left,10,.5
left,10,.5
left,10,.5
left,10,.5
left,10,.5
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
left,11,.7
left,11,.7
left,11,.7
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
right,22,.3
right,22,.3
right,22,.3
right,20,.5
right,20,.5
right,20,.5
right,20,.5
right,20,.5
left,10,.5
left,10,.5
left,10,.5
left,10,.5
left,10,.5
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
left,11,.7
left,11,.7
left,11,.7
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
right,22,.3
right,22,.3
right,22,.3
right,20,.5
right,20,.5
right,20,.5
right,20,.5
right,20,.5
left,10,.5
left,10,.5
left,10,.5
left,10,.5
left,10,.5
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
right,21,.7
left,11,.7
left,11,.7
left,11,.7
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
left,12,.3
right,22,.3
right,22,.3
right,22,.3
