,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
0,1,0.4474,,,,zr,data_S10.csv,0.0
1,2,1.0253,speed,,,a,data_S10.csv,0.0
2,3,-2.8465,speed,5.0,left,v,data_S10.csv,0.0
3,4,0.1633,speed,,,t0,data_S10.csv,0.0
4,5,0.463,speed,,,szr,data_S10.csv,0.0
5,6,0.7133,,,,sv,data_S10.csv,0.0
6,7,0.1048,,,,st0,data_S10.csv,0.0
7,8,-0.2887,speed,3.0,left,v,data_S10.csv,0.0
8,9,0.918,speed,2.0,right,v,data_S10.csv,0.0
9,10,0.5834,speed,1.0,right,v,data_S10.csv,0.0
10,11,1.776,speed,3.0,right,v,data_S10.csv,0.0
11,12,-1.2348,speed,4.0,left,v,data_S10.csv,0.0
12,13,0.2319,speed,2.0,left,v,data_S10.csv,0.0
13,14,0.7615,speed,1.0,left,v,data_S10.csv,0.0
14,15,2.6698,speed,5.0,right,v,data_S10.csv,0.0
15,16,3.0981,speed,4.0,right,v,data_S10.csv,0.0
16,17,1.0961,accuracy,,,a,data_S10.csv,0.0
17,18,3.585,accuracy,5.0,right,v,data_S10.csv,0.0
18,19,0.2141,accuracy,,,t0,data_S10.csv,0.0
19,20,0.3583,accuracy,,,szr,data_S10.csv,0.0
20,21,0.7615,accuracy,1.0,left,v,data_S10.csv,0.0
21,22,0.7399,accuracy,2.0,right,v,data_S10.csv,0.0
22,23,2.6235,accuracy,4.0,right,v,data_S10.csv,0.0
23,24,0.5642,accuracy,1.0,right,v,data_S10.csv,0.0
24,25,1.6335,accuracy,3.0,right,v,data_S10.csv,0.0
25,26,-2.7808,accuracy,4.0,left,v,data_S10.csv,0.0
26,27,-0.5648,accuracy,3.0,left,v,data_S10.csv,0.0
27,28,-2.9579,accuracy,5.0,left,v,data_S10.csv,0.0
28,29,0.1538,accuracy,2.0,left,v,data_S10.csv,0.0
29,1,0.5,,,,zr,data_S12.csv,0.0
30,2,0.7419,speed,,,a,data_S12.csv,0.0
31,3,1.5556,speed,1.0,right,v,data_S12.csv,0.0
32,4,0.1986,speed,,,t0,data_S12.csv,0.0
33,5,0.3003,speed,,,szr,data_S12.csv,0.0
34,6,0.5352,,,,sv,data_S12.csv,0.0
35,7,0.1321,,,,st0,data_S12.csv,0.0
36,8,-2.8079,speed,5.0,left,v,data_S12.csv,0.0
37,9,4.1052,speed,5.0,right,v,data_S12.csv,0.0
38,10,-0.7852,speed,3.0,left,v,data_S12.csv,0.0
39,11,1.5843,speed,2.0,right,v,data_S12.csv,0.0
40,12,-2.7054,speed,4.0,left,v,data_S12.csv,0.0
41,13,1.8677,speed,3.0,right,v,data_S12.csv,0.0
42,14,0.1801,speed,2.0,left,v,data_S12.csv,0.0
43,15,1.2814,speed,1.0,left,v,data_S12.csv,0.0
44,16,2.8288,speed,4.0,right,v,data_S12.csv,0.0
45,17,1.2568,accuracy,,,a,data_S12.csv,0.0
46,18,2.843,accuracy,4.0,right,v,data_S12.csv,0.0
47,19,0.286,accuracy,,,t0,data_S12.csv,0.0
48,20,0.5054,accuracy,,,szr,data_S12.csv,0.0
49,21,-0.1763,accuracy,2.0,left,v,data_S12.csv,0.0
50,22,0.2547,accuracy,1.0,right,v,data_S12.csv,0.0
51,23,1.9283,accuracy,3.0,right,v,data_S12.csv,0.0
52,24,0.5734,accuracy,2.0,right,v,data_S12.csv,0.0
53,25,0.3052,accuracy,1.0,left,v,data_S12.csv,0.0
54,26,-2.1614,accuracy,3.0,left,v,data_S12.csv,0.0
55,27,-4.9115,accuracy,5.0,left,v,data_S12.csv,0.0
56,28,-2.9752,accuracy,4.0,left,v,data_S12.csv,0.0
57,29,3.2573,accuracy,5.0,right,v,data_S12.csv,0.0
58,1,0.5,,,,zr,data_S8.csv,0.0
59,2,1.3637,accuracy,,,a,data_S8.csv,0.0
