,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
0,1,0.4737,,,,zr,data_S10.csv,0.0009
1,2,0.9266,speed,,,a,data_S10.csv,0.0009
2,3,-2.4529,speed,5.0,left,v,data_S10.csv,0.0009
3,4,0.2663,speed,,,t0,data_S10.csv,0.0009
4,5,0.3084,speed,,,szr,data_S10.csv,0.0009
5,6,0.84,,,,sv,data_S10.csv,0.0009
6,7,0.1026,,,,st0,data_S10.csv,0.0009
7,8,-0.5537,speed,3.0,left,v,data_S10.csv,0.0009
8,9,0.8499,speed,2.0,right,v,data_S10.csv,0.0009
9,10,0.6535,speed,1.0,right,v,data_S10.csv,0.0009
10,11,1.6008,speed,3.0,right,v,data_S10.csv,0.0009
11,12,-1.4817,speed,4.0,left,v,data_S10.csv,0.0009
12,13,0.2958,speed,2.0,left,v,data_S10.csv,0.0009
13,14,0.6404,speed,1.0,left,v,data_S10.csv,0.0009
14,15,2.8068,speed,5.0,right,v,data_S10.csv,0.0009
15,16,2.4254,speed,4.0,right,v,data_S10.csv,0.0009
16,17,1.1134,accuracy,,,a,data_S10.csv,0.0009
17,18,3.729,accuracy,5.0,right,v,data_S10.csv,0.0009
18,19,0.2966,accuracy,,,t0,data_S10.csv,0.0009
19,20,0.0607,accuracy,,,szr,data_S10.csv,0.0009
20,21,0.7597,accuracy,1.0,left,v,data_S10.csv,0.0009
21,22,0.6497,accuracy,2.0,right,v,data_S10.csv,0.0009
22,23,2.7599,accuracy,4.0,right,v,data_S10.csv,0.0009
23,24,0.5593,accuracy,1.0,right,v,data_S10.csv,0.0009
24,25,1.6243,accuracy,3.0,right,v,data_S10.csv,0.0009
25,26,-2.4829,accuracy,4.0,left,v,data_S10.csv,0.0009
26,27,-0.757,accuracy,3.0,left,v,data_S10.csv,0.0009
27,28,-2.614,accuracy,5.0,left,v,data_S10.csv,0.0009
28,29,0.1075,accuracy,2.0,left,v,data_S10.csv,0.0009
29,1,0.5454,,,,zr,data_S12.csv,0.0
30,2,0.8084,speed,,,a,data_S12.csv,0.0
31,3,1.3392,speed,1.0,right,v,data_S12.csv,0.0
32,4,0.3116,speed,,,t0,data_S12.csv,0.0
33,5,0.4262,speed,,,szr,data_S12.csv,0.0
34,6,0.9277,,,,sv,data_S12.csv,0.0
35,7,0.124,,,,st0,data_S12.csv,0.0
36,8,-3.1834,speed,5.0,left,v,data_S12.csv,0.0
37,9,3.9046,speed,5.0,right,v,data_S12.csv,0.0
38,10,-1.0169,speed,3.0,left,v,data_S12.csv,0.0
39,11,1.3296,speed,2.0,right,v,data_S12.csv,0.0
40,12,-3.1623,speed,4.0,left,v,data_S12.csv,0.0
41,13,1.7056,speed,3.0,right,v,data_S12.csv,0.0
42,14,-0.1789,speed,2.0,left,v,data_S12.csv,0.0
43,15,0.8491,speed,1.0,left,v,data_S12.csv,0.0
44,16,2.8289,speed,4.0,right,v,data_S12.csv,0.0
45,17,1.26,accuracy,,,a,data_S12.csv,0.0
