,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
0,1,0.4723,,,,zr,data_S5_1.csv,0.003
1,2,1.3699,accuracy,,,a,data_S5_1.csv,0.003
2,3,1.9875,accuracy,3.0,right,v,data_S5_1.csv,0.003
3,4,0.298,accuracy,,,t0,data_S5_1.csv,0.003
4,5,0.0104,accuracy,,,d,data_S5_1.csv,0.003
5,6,0.0151,accuracy,,,szr,data_S5_1.csv,0.003
6,7,0.6028,,,,sv,data_S5_1.csv,0.003
7,8,0.0271,,,,st0,data_S5_1.csv,0.003
8,9,-3.5105,accuracy,5.0,left,v,data_S5_1.csv,0.003
9,10,4.8326,accuracy,5.0,right,v,data_S5_1.csv,0.003
10,11,-0.2107,accuracy,2.0,left,v,data_S5_1.csv,0.003
11,12,0.6692,accuracy,1.0,right,v,data_S5_1.csv,0.003
12,13,4.0079,accuracy,4.0,right,v,data_S5_1.csv,0.003
13,14,0.6497,accuracy,1.0,left,v,data_S5_1.csv,0.003
14,15,-2.6057,accuracy,4.0,left,v,data_S5_1.csv,0.003
15,16,-0.6694,accuracy,3.0,left,v,data_S5_1.csv,0.003
16,17,1.0472,accuracy,2.0,right,v,data_S5_1.csv,0.003
17,18,1.0359,speed,,,a,data_S5_1.csv,0.003
18,19,5.7838,speed,5.0,right,v,data_S5_1.csv,0.003
19,20,0.2816,speed,,,t0,data_S5_1.csv,0.003
20,21,0.0079,speed,,,d,data_S5_1.csv,0.003
21,22,0.2954,speed,,,szr,data_S5_1.csv,0.003
22,23,-1.6791,speed,3.0,left,v,data_S5_1.csv,0.003
23,24,1.4931,speed,2.0,right,v,data_S5_1.csv,0.003
24,25,4.3285,speed,4.0,right,v,data_S5_1.csv,0.003
25,26,-4.3668,speed,5.0,left,v,data_S5_1.csv,0.003
26,27,-0.2257,speed,2.0,left,v,data_S5_1.csv,0.003
27,28,0.4108,speed,1.0,left,v,data_S5_1.csv,0.003
28,29,-2.5369,speed,4.0,left,v,data_S5_1.csv,0.003
29,30,2.5071,speed,3.0,right,v,data_S5_1.csv,0.003
30,31,0.7598,speed,1.0,right,v,data_S5_1.csv,0.003
31,1,0.5238,,,,zr,data_S9_1.csv,0.0
32,2,1.2381,accuracy,,,a,data_S9_1.csv,0.0
33,3,6.6904,accuracy,5.0,right,v,data_S9_1.csv,0.0
34,4,0.3816,accuracy,,,t0,data_S9_1.csv,0.0
35,5,-0.0045,accuracy,,,d,data_S9_1.csv,0.0
36,6,0.1195,accuracy,,,szr,data_S9_1.csv,0.0
37,7,0.2175,,,,sv,data_S9_1.csv,0.0
38,8,0.1355,,,,st0,data_S9_1.csv,0.0
