,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
0,1,0.4737,,,,zr,data_S10.csv,0.0009
1,2,0.9253,speed,,,a,data_S10.csv,0.0009
2,3,-2.4718,speed,5.0,left,v,data_S10.csv,0.0009
3,4,0.2647,speed,,,t0,data_S10.csv,0.0009
4,5,0.0028,,,,d,data_S10.csv,0.0009
5,6,0.292,speed,,,szr,data_S10.csv,0.0009
6,7,0.7606,,,,sv,data_S10.csv,0.0009
7,8,0.0984,,,,st0,data_S10.csv,0.0009
8,9,-0.5227,speed,3.0,left,v,data_S10.csv,0.0009
9,10,0.8434,speed,2.0,right,v,data_S10.csv,0.0009
10,11,0.5957,speed,1.0,right,v,data_S10.csv,0.0009
11,12,1.5781,speed,3.0,right,v,data_S10.csv,0.0009
12,13,-1.4224,speed,4.0,left,v,data_S10.csv,0.0009
13,14,0.3109,speed,2.0,left,v,data_S10.csv,0.0009
14,15,0.6486,speed,1.0,left,v,data_S10.csv,0.0009
15,16,2.6558,speed,5.0,right,v,data_S10.csv,0.0009
16,17,2.4107,speed,4.0,right,v,data_S10.csv,0.0009
17,18,1.1126,accuracy,,,a,data_S10.csv,0.0009
18,19,3.5726,accuracy,5.0,right,v,data_S10.csv,0.0009
19,20,0.2945,accuracy,,,t0,data_S10.csv,0.0009
20,21,0.0238,accuracy,,,szr,data_S10.csv,0.0009
21,22,0.7964,accuracy,1.0,left,v,data_S10.csv,0.0009
22,23,0.637,accuracy,2.0,right,v,data_S10.csv,0.0009
23,24,2.5897,accuracy,4.0,right,v,data_S10.csv,0.0009
24,25,0.5554,accuracy,1.0,right,v,data_S10.csv,0.0009
25,26,1.5728,accuracy,3.0,right,v,data_S10.csv,0.0009
26,27,-2.4911,accuracy,4.0,left,v,data_S10.csv,0.0009
27,28,-0.7239,accuracy,3.0,left,v,data_S10.csv,0.0009
28,29,-2.6278,accuracy,5.0,left,v,data_S10.csv,0.0009
29,30,0.127,accuracy,2.0,left,v,data_S10.csv,0.0009
30,1,0.5384,,,,zr,data_S12.csv,0.0
31,2,0.7819,speed,,,a,data_S12.csv,0.0
32,3,1.3634,speed,1.0,right,v,data_S12.csv,0.0
33,4,0.3122,speed,,,t0,data_S12.csv,0.0
34,5,0.006,,,,d,data_S12.csv,0.0
35,6,0.3128,speed,,,szr,data_S12.csv,0.0
36,7,0.781,,,,sv,data_S12.csv,0.0
37,8,0.1403,,,,st0,data_S12.csv,0.0
38,9,-3.1094,speed,5.0,left,v,data_S12.csv,0.0
39,10,3.8036,speed,5.0,right,v,data_S12.csv,0.0
40,11,-0.8682,speed,3.0,left,v,data_S12.csv,0.0
41,12,1.3477,speed,2.0,right,v,data_S12.csv,0.0
42,13,-3.2287,speed,4.0,left,v,data_S12.csv,0.0
43,14,1.7494,speed,3.0,right,v,data_S12.csv,0.0
44,15,-0.1548,speed,2.0,left,v,data_S12.csv,0.0
45,16,0.8423,speed,1.0,left,v,data_S12.csv,0.0
46,17,2.6582,speed,4.0,right,v,data_S12.csv,0.0
47,18,1.2591,accuracy,,,a,data_S12.csv,0.0
48,19,2.8286,accuracy,4.0,right,v,data_S12.csv,0.0
49,20,0.427,accuracy,,,t0,data_S12.csv,0.0
50,21,0.3378,accuracy,,,szr,data_S12.csv,0.0
51,22,-0.1678,accuracy,2.0,left,v,data_S12.csv,0.0
52,23,0.3267,accuracy,1.0,right,v,data_S12.csv,0.0
53,24,2.2218,accuracy,3.0,right,v,data_S12.csv,0.0
54,25,0.5244,accuracy,2.0,right,v,data_S12.csv,0.0
55,26,0.2633,accuracy,1.0,left,v,data_S12.csv,0.0
56,27,-2.0685,accuracy,3.0,left,v,data_S12.csv,0.0
57,28,-3.4525,accuracy,5.0,left,v,data_S12.csv,0.0
58,29,-3.3668,accuracy,4.0,left,v,data_S12.csv,0.0
59,30,3.4311,accuracy,5.0,right,v,data_S12.csv,0.0
60,1,0.5,,,,zr,data_S8.csv,0.0
61,2,1.4177,accuracy,,,a,data_S8.csv,0.0
62,3,-4.5139,accuracy,5.0,left,v,data_S8.csv,0.0
63,4,0.3825,accuracy,,,t0,data_S8.csv,0.0
64,5,0.0006,,,,d,data_S8.csv,0.0
65,6,0.2366,accuracy,,,szr,data_S8.csv,0.0
66,7,0.5632,,,,sv,data_S8.csv,0.0
67,8,0.1183,,,,st0,data_S8.csv,0.0
68,9,1.992,accuracy,3.0,right,v,data_S8.csv,0.0
69,10,3.318,accuracy,4.0,right,v,data_S8.csv,0.0
70,11,-3.5887,accuracy,4.0,left,v,data_S8.csv,0.0
71,12,5.0976,accuracy,5.0,right,v,data_S8.csv,0.0
72,13,-0.0095,accuracy,1.0,left,v,data_S8.csv,0.0
73,14,-2.0083,accuracy,3.0,left,v,data_S8.csv,0.0
74,15,-0.3059,accuracy,2.0,left,v,data_S8.csv,0.0
75,16,0.2057,accuracy,1.0,right,v,data_S8.csv,0.0
76,17,1.2667,accuracy,2.0,right,v,data_S8.csv,0.0
77,18,0.8986,speed,,,a,data_S8.csv,0.0
78,19,-0.1291,speed,2.0,left,v,data_S8.csv,0.0
79,20,0.2999,speed,,,t0,data_S8.csv,0.0
80,21,0.2153,speed,,,szr,data_S8.csv,0.0
81,22,-0.169,speed,1.0,left,v,data_S8.csv,0.0
82,23,0.4416,speed,1.0,right,v,data_S8.csv,0.0
83,24,-1.7403,speed,3.0,left,v,data_S8.csv,0.0
84,25,3.022,speed,3.0,right,v,data_S8.csv,0.0
85,26,-4.0646,speed,5.0,left,v,data_S8.csv,0.0
86,27,6.6749,speed,5.0,right,v,data_S8.csv,0.0
87,28,-2.5214,speed,4.0,left,v,data_S8.csv,0.0
88,29,1.245,speed,2.0,right,v,data_S8.csv,0.0
89,30,3.1238,speed,4.0,right,v,data_S8.csv,0.0
90,1,0.5,,,,zr,data_S3.csv,0.0001
91,2,1.2872,accuracy,,,a,data_S3.csv,0.0001
92,3,-3.1032,accuracy,5.0,left,v,data_S3.csv,0.0001
93,4,0.2932,accuracy,,,t0,data_S3.csv,0.0001
94,5,0.0166,,,,d,data_S3.csv,0.0001
95,6,0.0847,accuracy,,,szr,data_S3.csv,0.0001
96,7,0.7392,,,,sv,data_S3.csv,0.0001
97,8,0.0338,,,,st0,data_S3.csv,0.0001
98,9,2.3591,accuracy,3.0,right,v,data_S3.csv,0.0001
99,10,0.2996,accuracy,1.0,left,v,data_S3.csv,0.0001
100,11,3.8797,accuracy,4.0,right,v,data_S3.csv,0.0001
101,12,1.3201,accuracy,2.0,right,v,data_S3.csv,0.0001
102,13,4.3396,accuracy,5.0,right,v,data_S3.csv,0.0001
103,14,-2.5034,accuracy,4.0,left,v,data_S3.csv,0.0001
104,15,-0.1583,accuracy,2.0,left,v,data_S3.csv,0.0001
105,16,-0.8874,accuracy,3.0,left,v,data_S3.csv,0.0001
106,17,0.872,accuracy,1.0,right,v,data_S3.csv,0.0001
107,18,0.9686,speed,,,a,data_S3.csv,0.0001
108,19,-0.7604,speed,3.0,left,v,data_S3.csv,0.0001
109,20,0.2793,speed,,,t0,data_S3.csv,0.0001
110,21,0.3965,speed,,,szr,data_S3.csv,0.0001
111,22,1.1318,speed,2.0,right,v,data_S3.csv,0.0001
112,23,-0.0277,speed,1.0,left,v,data_S3.csv,0.0001
113,24,-1.6888,speed,4.0,left,v,data_S3.csv,0.0001
114,25,4.5272,speed,5.0,right,v,data_S3.csv,0.0001
115,26,0.202,speed,2.0,left,v,data_S3.csv,0.0001
116,27,3.36,speed,4.0,right,v,data_S3.csv,0.0001
117,28,-2.5165,speed,5.0,left,v,data_S3.csv,0.0001
118,29,2.7762,speed,3.0,right,v,data_S3.csv,0.0001
119,30,0.5496,speed,1.0,right,v,data_S3.csv,0.0001
120,1,0.4762,,,,zr,data_S6.csv,0.0
121,2,0.9205,speed,,,a,data_S6.csv,0.0
122,3,3.0069,speed,4.0,right,v,data_S6.csv,0.0
123,4,0.3064,speed,,,t0,data_S6.csv,0.0
124,5,0.0239,,,,d,data_S6.csv,0.0
125,6,0.3378,speed,,,szr,data_S6.csv,0.0
126,7,0.6863,,,,sv,data_S6.csv,0.0
127,8,0.1621,,,,st0,data_S6.csv,0.0
128,9,-3.4598,speed,4.0,left,v,data_S6.csv,0.0
129,10,-0.5029,speed,1.0,left,v,data_S6.csv,0.0
130,11,-0.2449,speed,2.0,right,v,data_S6.csv,0.0
131,12,-0.8339,speed,2.0,left,v,data_S6.csv,0.0
132,13,4.0806,speed,5.0,right,v,data_S6.csv,0.0
133,14,-0.214,speed,1.0,right,v,data_S6.csv,0.0
134,15,2.2775,speed,3.0,right,v,data_S6.csv,0.0
135,16,-1.6379,speed,3.0,left,v,data_S6.csv,0.0
136,17,-3.369,speed,5.0,left,v,data_S6.csv,0.0
137,18,1.2385,accuracy,,,a,data_S6.csv,0.0
138,19,1.4336,accuracy,3.0,right,v,data_S6.csv,0.0
139,20,0.389,accuracy,,,t0,data_S6.csv,0.0
140,21,0.0258,accuracy,,,szr,data_S6.csv,0.0
141,22,4.944,accuracy,5.0,right,v,data_S6.csv,0.0
142,23,-0.8759,accuracy,1.0,left,v,data_S6.csv,0.0
143,24,-0.3316,accuracy,2.0,left,v,data_S6.csv,0.0
144,25,-3.682,accuracy,4.0,left,v,data_S6.csv,0.0
145,26,0.0192,accuracy,1.0,right,v,data_S6.csv,0.0
146,27,3.695,accuracy,4.0,right,v,data_S6.csv,0.0
147,28,-6.362,accuracy,5.0,left,v,data_S6.csv,0.0
148,29,0.2821,accuracy,2.0,right,v,data_S6.csv,0.0
149,30,-1.7401,accuracy,3.0,left,v,data_S6.csv,0.0
150,1,0.4723,,,,zr,data_S5.csv,0.0031
151,2,1.3695,accuracy,,,a,data_S5.csv,0.0031
152,3,1.9869,accuracy,3.0,right,v,data_S5.csv,0.0031
153,4,0.2969,accuracy,,,t0,data_S5.csv,0.0031
154,5,0.0103,,,,d,data_S5.csv,0.0031
155,6,0.1114,accuracy,,,szr,data_S5.csv,0.0031
156,7,0.5144,,,,sv,data_S5.csv,0.0031
157,8,0.0264,,,,st0,data_S5.csv,0.0031
158,9,-3.4385,accuracy,5.0,left,v,data_S5.csv,0.0031
159,10,4.7632,accuracy,5.0,right,v,data_S5.csv,0.0031
160,11,-0.2051,accuracy,2.0,left,v,data_S5.csv,0.0031
161,12,0.639,accuracy,1.0,right,v,data_S5.csv,0.0031
162,13,3.9286,accuracy,4.0,right,v,data_S5.csv,0.0031
163,14,0.6186,accuracy,1.0,left,v,data_S5.csv,0.0031
164,15,-2.5844,accuracy,4.0,left,v,data_S5.csv,0.0031
165,16,-0.6337,accuracy,3.0,left,v,data_S5.csv,0.0031
166,17,1.0261,accuracy,2.0,right,v,data_S5.csv,0.0031
167,18,1.0348,speed,,,a,data_S5.csv,0.0031
168,19,5.6939,speed,5.0,right,v,data_S5.csv,0.0031
169,20,0.282,speed,,,t0,data_S5.csv,0.0031
170,21,0.3065,speed,,,szr,data_S5.csv,0.0031
171,22,-1.6612,speed,3.0,left,v,data_S5.csv,0.0031
172,23,1.593,speed,2.0,right,v,data_S5.csv,0.0031
173,24,4.2744,speed,4.0,right,v,data_S5.csv,0.0031
174,25,-4.4383,speed,5.0,left,v,data_S5.csv,0.0031
175,26,-0.207,speed,2.0,left,v,data_S5.csv,0.0031
176,27,0.4161,speed,1.0,left,v,data_S5.csv,0.0031
177,28,-2.6606,speed,4.0,left,v,data_S5.csv,0.0031
178,29,2.4927,speed,3.0,right,v,data_S5.csv,0.0031
179,30,0.7813,speed,1.0,right,v,data_S5.csv,0.0031
180,1,0.5,,,,zr,data_S7.csv,0.0
181,2,0.7165,speed,,,a,data_S7.csv,0.0
182,3,-0.3286,speed,1.0,left,v,data_S7.csv,0.0
183,4,0.3231,speed,,,t0,data_S7.csv,0.0
184,5,0.0095,,,,d,data_S7.csv,0.0
185,6,0.403,speed,,,szr,data_S7.csv,0.0
186,7,0.4876,,,,sv,data_S7.csv,0.0
187,8,0.1445,,,,st0,data_S7.csv,0.0
188,9,-0.221,speed,2.0,left,v,data_S7.csv,0.0
189,10,-0.0042,speed,1.0,right,v,data_S7.csv,0.0
190,11,0.2235,speed,2.0,right,v,data_S7.csv,0.0
191,12,-1.4135,speed,3.0,left,v,data_S7.csv,0.0
192,13,1.4929,speed,3.0,right,v,data_S7.csv,0.0
193,14,-2.584,speed,4.0,left,v,data_S7.csv,0.0
194,15,-2.8485,speed,5.0,left,v,data_S7.csv,0.0
195,16,2.5124,speed,4.0,right,v,data_S7.csv,0.0
196,17,4.5052,speed,5.0,right,v,data_S7.csv,0.0
197,18,1.1581,accuracy,,,a,data_S7.csv,0.0
198,19,1.6733,accuracy,3.0,right,v,data_S7.csv,0.0
199,20,0.3553,accuracy,,,t0,data_S7.csv,0.0
200,21,0.2509,accuracy,,,szr,data_S7.csv,0.0
201,22,5.1986,accuracy,5.0,right,v,data_S7.csv,0.0
202,23,-0.4633,accuracy,2.0,left,v,data_S7.csv,0.0
203,24,0.1018,accuracy,1.0,right,v,data_S7.csv,0.0
204,25,0.4191,accuracy,2.0,right,v,data_S7.csv,0.0
205,26,-2.0841,accuracy,3.0,left,v,data_S7.csv,0.0
206,27,-0.1101,accuracy,1.0,left,v,data_S7.csv,0.0
207,28,-3.3096,accuracy,4.0,left,v,data_S7.csv,0.0
208,29,4.0091,accuracy,4.0,right,v,data_S7.csv,0.0
209,30,-5.57,accuracy,5.0,left,v,data_S7.csv,0.0
210,1,0.5,,,,zr,data_S9.csv,0.0
211,2,1.2626,accuracy,,,a,data_S9.csv,0.0
212,3,5.5174,accuracy,5.0,right,v,data_S9.csv,0.0
