,participant,mt,predicted,zr
0,S1,0.025016378502750375,0.006699999999999999,0.5313
1,S10,0.019314009866167728,-0.0018000000000000002,0.4737000000000002
2,S11,0.00780927367838255,0.02949999999999998,0.5587999999999999
3,S12,0.018820531914355468,0.011300000000000003,0.5454000000000001
4,S13,0.024493220829774467,0.003500000000000002,0.5
5,S14,0.0009764472046863981,0.003500000000000002,0.5
6,S2,0.011953361349763242,0.023000000000000007,0.5749999999999998
7,S3,0.0062459330602606805,0.030000000000000016,0.5227000000000002
8,S4,0.012672531785632143,0.0178,0.5250000000000001
9,S5,0.022873646760641478,0.010399999999999996,0.5
10,S6,0.03212933145128177,0.0197,0.5237999999999998
11,S7,0.010998888610239399,0.0096,0.5
12,S8,0.009592044112404191,0.018299999999999997,0.5
13,S9,0.039788333426530556,-0.0045000000000000005,0.5237999999999998
