,a,v,zr,t0,st0,participant,contrast,SAT,stimulus,fit
0,0.9393,0.2848,0.5313,0.3531,0.0691,data_S1.csv,1.0,accuracy,left,0.0
1,0.9393,1.5848,0.5313,0.3531,0.0691,data_S1.csv,1.0,accuracy,right,0.0
2,0.9393,0.0923,0.5313,0.3531,0.0691,data_S1.csv,2.0,accuracy,left,0.0
3,0.9393,1.611,0.5313,0.3531,0.0691,data_S1.csv,2.0,accuracy,right,0.0
4,0.9393,-1.9934,0.5313,0.3531,0.0691,data_S1.csv,3.0,accuracy,left,0.0
5,0.9393,3.0167,0.5313,0.3531,0.0691,data_S1.csv,3.0,accuracy,right,0.0
6,0.9393,-3.4765,0.5313,0.3531,0.0691,data_S1.csv,4.0,accuracy,left,0.0
7,0.9393,4.5736,0.5313,0.3531,0.0691,data_S1.csv,4.0,accuracy,right,0.0
8,0.9393,-5.9283,0.5313,0.3531,0.0691,data_S1.csv,5.0,accuracy,left,0.0
9,0.9393,7.7985,0.5313,0.3531,0.0691,data_S1.csv,5.0,accuracy,right,0.0
10,0.7901,0.7533,0.5313,0.28800000000000003,0.0691,data_S1.csv,1.0,speed,left,0.0
11,0.7901,1.2947,0.5313,0.28800000000000003,0.0691,data_S1.csv,1.0,speed,right,0.0
12,0.7901,0.7124,0.5313,0.28800000000000003,0.0691,data_S1.csv,2.0,speed,left,0.0
13,0.7901,1.6375,0.5313,0.28800000000000003,0.0691,data_S1.csv,2.0,speed,right,0.0
14,0.7901,-0.7982,0.5313,0.28800000000000003,0.0691,data_S1.csv,3.0,speed,left,0.0
15,0.7901,2.9688,0.5313,0.28800000000000003,0.0691,data_S1.csv,3.0,speed,right,0.0
16,0.7901,-2.6369,0.5313,0.28800000000000003,0.0691,data_S1.csv,4.0,speed,left,0.0
17,0.7901,4.5955,0.5313,0.28800000000000003,0.0691,data_S1.csv,4.0,speed,right,0.0
18,0.7901,-4.7165,0.5313,0.28800000000000003,0.0691,data_S1.csv,5.0,speed,left,0.0
19,0.7901,6.4626,0.5313,0.28800000000000003,0.0691,data_S1.csv,5.0,speed,right,0.0
20,1.1134,0.7597,0.4737,0.2966,0.1026,data_S10.csv,1.0,accuracy,left,0.0009000000000000003
21,1.1134,0.5593,0.4737,0.2966,0.1026,data_S10.csv,1.0,accuracy,right,0.0009000000000000003
22,1.1134,0.1075,0.4737,0.2966,0.1026,data_S10.csv,2.0,accuracy,left,0.0009000000000000003
23,1.1134,0.6497,0.4737,0.2966,0.1026,data_S10.csv,2.0,accuracy,right,0.0009000000000000003
24,1.1134,-0.757,0.4737,0.2966,0.1026,data_S10.csv,3.0,accuracy,left,0.0009000000000000003
25,1.1134,1.6243,0.4737,0.2966,0.1026,data_S10.csv,3.0,accuracy,right,0.0009000000000000003
26,1.1134,-2.4829,0.4737,0.2966,0.1026,data_S10.csv,4.0,accuracy,left,0.0009000000000000003
27,1.1134,2.7599,0.4737,0.2966,0.1026,data_S10.csv,4.0,accuracy,right,0.0009000000000000003
28,1.1134,-2.614,0.4737,0.2966,0.1026,data_S10.csv,5.0,accuracy,left,0.0009000000000000003
29,1.1134,3.7289999999999996,0.4737,0.2966,0.1026,data_S10.csv,5.0,accuracy,right,0.0009000000000000003
30,0.9266,0.6404,0.4737,0.2663,0.1026,data_S10.csv,1.0,speed,left,0.0009000000000000003
31,0.9266,0.6535,0.4737,0.2663,0.1026,data_S10.csv,1.0,speed,right,0.0009000000000000003
32,0.9266,0.2958,0.4737,0.2663,0.1026,data_S10.csv,2.0,speed,left,0.0009000000000000003
33,0.9266,0.8499,0.4737,0.2663,0.1026,data_S10.csv,2.0,speed,right,0.0009000000000000003
34,0.9266,-0.5537,0.4737,0.2663,0.1026,data_S10.csv,3.0,speed,left,0.0009000000000000003
35,0.9266,1.6008,0.4737,0.2663,0.1026,data_S10.csv,3.0,speed,right,0.0009000000000000003
36,0.9266,-1.4817,0.4737,0.2663,0.1026,data_S10.csv,4.0,speed,left,0.0009000000000000003
37,0.9266,2.4254,0.4737,0.2663,0.1026,data_S10.csv,4.0,speed,right,0.0009000000000000003
38,0.9266,-2.4529,0.4737,0.2663,0.1026,data_S10.csv,5.0,speed,left,0.0009000000000000003
39,0.9266,2.8068,0.4737,0.2663,0.1026,data_S10.csv,5.0,speed,right,0.0009000000000000003
40,0.983,0.0,0.5588,0.2712,0.0319,data_S11.csv,1.0,accuracy,left,0.0
41,0.983,0.5148,0.5588,0.2712,0.0319,data_S11.csv,1.0,accuracy,right,0.0
42,0.983,-0.5223,0.5588,0.2712,0.0319,data_S11.csv,2.0,accuracy,left,0.0
43,0.983,1.202,0.5588,0.2712,0.0319,data_S11.csv,2.0,accuracy,right,0.0
44,0.983,-2.5217,0.5588,0.2712,0.0319,data_S11.csv,3.0,accuracy,left,0.0
45,0.983,3.8607,0.5588,0.2712,0.0319,data_S11.csv,3.0,accuracy,right,0.0
46,0.983,-3.3451,0.5588,0.2712,0.0319,data_S11.csv,4.0,accuracy,left,0.0
47,0.983,6.0469,0.5588,0.2712,0.0319,data_S11.csv,4.0,accuracy,right,0.0
48,0.983,-4.7523,0.5588,0.2712,0.0319,data_S11.csv,5.0,accuracy,left,0.0
49,0.983,6.2233,0.5588,0.2712,0.0319,data_S11.csv,5.0,accuracy,right,0.0
50,1.0789,0.1555,0.5588,0.2361,0.0319,data_S11.csv,1.0,speed,left,0.0
51,1.0789,0.8799,0.5588,0.2361,0.0319,data_S11.csv,1.0,speed,right,0.0
52,1.0789,-0.1323,0.5588,0.2361,0.0319,data_S11.csv,2.0,speed,left,0.0
53,1.0789,1.7251,0.5588,0.2361,0.0319,data_S11.csv,2.0,speed,right,0.0
54,1.0789,-1.8088,0.5588,0.2361,0.0319,data_S11.csv,3.0,speed,left,0.0
55,1.0789,2.9279,0.5588,0.2361,0.0319,data_S11.csv,3.0,speed,right,0.0
56,1.0789,-3.2053,0.5588,0.2361,0.0319,data_S11.csv,4.0,speed,left,0.0
57,1.0789,3.8629,0.5588,0.2361,0.0319,data_S11.csv,4.0,speed,right,0.0
58,1.0789,-4.3069999999999995,0.5588,0.2361,0.0319,data_S11.csv,5.0,speed,left,0.0
59,1.0789,4.5468,0.5588,0.2361,0.0319,data_S11.csv,5.0,speed,right,0.0
60,1.26,0.2825,0.5454,0.4288,0.124,data_S12.csv,1.0,accuracy,left,0.0
61,1.26,0.3583,0.5454,0.4288,0.124,data_S12.csv,1.0,accuracy,right,0.0
62,1.26,-0.1707,0.5454,0.4288,0.124,data_S12.csv,2.0,accuracy,left,0.0
63,1.26,0.5079,0.5454,0.4288,0.124,data_S12.csv,2.0,accuracy,right,0.0
64,1.26,-2.0874,0.5454,0.4288,0.124,data_S12.csv,3.0,accuracy,left,0.0
65,1.26,2.0954,0.5454,0.4288,0.124,data_S12.csv,3.0,accuracy,right,0.0
66,1.26,-3.3235,0.5454,0.4288,0.124,data_S12.csv,4.0,accuracy,left,0.0
67,1.26,2.9549,0.5454,0.4288,0.124,data_S12.csv,4.0,accuracy,right,0.0
68,1.26,-3.3267,0.5454,0.4288,0.124,data_S12.csv,5.0,accuracy,left,0.0
69,1.26,3.6487,0.5454,0.4288,0.124,data_S12.csv,5.0,accuracy,right,0.0
70,0.8084,0.8491,0.5454,0.3116,0.124,data_S12.csv,1.0,speed,left,0.0
71,0.8084,1.3392,0.5454,0.3116,0.124,data_S12.csv,1.0,speed,right,0.0
72,0.8084,-0.1789,0.5454,0.3116,0.124,data_S12.csv,2.0,speed,left,0.0
73,0.8084,1.3296,0.5454,0.3116,0.124,data_S12.csv,2.0,speed,right,0.0
74,0.8084,-1.0169,0.5454,0.3116,0.124,data_S12.csv,3.0,speed,left,0.0
75,0.8084,1.7056,0.5454,0.3116,0.124,data_S12.csv,3.0,speed,right,0.0
76,0.8084,-3.1623,0.5454,0.3116,0.124,data_S12.csv,4.0,speed,left,0.0
77,0.8084,2.8289,0.5454,0.3116,0.124,data_S12.csv,4.0,speed,right,0.0
78,0.8084,-3.1834,0.5454,0.3116,0.124,data_S12.csv,5.0,speed,left,0.0
79,0.8084,3.9046,0.5454,0.3116,0.124,data_S12.csv,5.0,speed,right,0.0
80,1.1245,0.4969,0.5,0.3327,0.0884,data_S13.csv,1.0,accuracy,left,9.999999999999998e-05
81,1.1245,0.7058,0.5,0.3327,0.0884,data_S13.csv,1.0,accuracy,right,9.999999999999998e-05
82,1.1245,-0.026000000000000002,0.5,0.3327,0.0884,data_S13.csv,2.0,accuracy,left,9.999999999999998e-05
83,1.1245,1.1258,0.5,0.3327,0.0884,data_S13.csv,2.0,accuracy,right,9.999999999999998e-05
84,1.1245,-1.3135,0.5,0.3327,0.0884,data_S13.csv,3.0,accuracy,left,9.999999999999998e-05
85,1.1245,2.3568,0.5,0.3327,0.0884,data_S13.csv,3.0,accuracy,right,9.999999999999998e-05
86,1.1245,-2.9496,0.5,0.3327,0.0884,data_S13.csv,4.0,accuracy,left,9.999999999999998e-05
87,1.1245,3.0291,0.5,0.3327,0.0884,data_S13.csv,4.0,accuracy,right,9.999999999999998e-05
88,1.1245,-3.4489,0.5,0.3327,0.0884,data_S13.csv,5.0,accuracy,left,9.999999999999998e-05
89,1.1245,3.9189999999999996,0.5,0.3327,0.0884,data_S13.csv,5.0,accuracy,right,9.999999999999998e-05
90,0.8888,0.6624,0.5,0.2768,0.0884,data_S13.csv,1.0,speed,left,9.999999999999998e-05
91,0.8888,0.5688,0.5,0.2768,0.0884,data_S13.csv,1.0,speed,right,9.999999999999998e-05
92,0.8888,0.0805,0.5,0.2768,0.0884,data_S13.csv,2.0,speed,left,9.999999999999998e-05
93,0.8888,1.2307,0.5,0.2768,0.0884,data_S13.csv,2.0,speed,right,9.999999999999998e-05
94,0.8888,-0.7959,0.5,0.2768,0.0884,data_S13.csv,3.0,speed,left,9.999999999999998e-05
95,0.8888,2.0629,0.5,0.2768,0.0884,data_S13.csv,3.0,speed,right,9.999999999999998e-05
