,level_0,value,SAT,p_right,stimulus,parameter,participant,fit
0,1,0.4762,accuracy,30.0,,zr,data_S10.csv,0.0
1,2,0.5,accuracy,50.0,,zr,data_S10.csv,0.0
2,3,0.5,accuracy,70.0,,zr,data_S10.csv,0.0
3,4,0.3766,speed,50.0,,zr,data_S10.csv,0.0
4,5,0.25,speed,30.0,,zr,data_S10.csv,0.0
5,6,0.75,speed,70.0,,zr,data_S10.csv,0.0
6,7,1.2058,accuracy,,,a,data_S10.csv,0.0
7,8,2.4539,,,right,v,data_S10.csv,0.0
8,9,0.3632,accuracy,,,t0,data_S10.csv,0.0
9,10,0.3119,accuracy,,,szr,data_S10.csv,0.0
10,11,0.8714,,,,sv,data_S10.csv,0.0
11,12,0.2281,,,,st0,data_S10.csv,0.0
12,13,-3.2678,,,left,v,data_S10.csv,0.0
13,14,0.9089,speed,,,a,data_S10.csv,0.0
14,15,0.2368,speed,,,t0,data_S10.csv,0.0
15,16,0.5,speed,,,szr,data_S10.csv,0.0
16,1,0.5,accuracy,30.0,,zr,data_S12.csv,0.0003
17,2,0.5416,accuracy,50.0,,zr,data_S12.csv,0.0003
18,3,0.4792,accuracy,70.0,,zr,data_S12.csv,0.0003
19,4,0.5384,speed,50.0,,zr,data_S12.csv,0.0003
20,5,0.5384,speed,30.0,,zr,data_S12.csv,0.0003
21,6,0.6923,speed,70.0,,zr,data_S12.csv,0.0003
22,7,1.4044,accuracy,,,a,data_S12.csv,0.0003
23,8,-2.0381,,,left,v,data_S12.csv,0.0003
24,9,0.2983,accuracy,,,t0,data_S12.csv,0.0003
25,10,0.1612,accuracy,,,szr,data_S12.csv,0.0003
26,11,0.9057,,,,sv,data_S12.csv,0.0003
27,12,0.1602,,,,st0,data_S12.csv,0.0003
28,13,2.1202,,,right,v,data_S12.csv,0.0003
29,14,0.7906,speed,,,a,data_S12.csv,0.0003
30,15,0.3072,speed,,,t0,data_S12.csv,0.0003
31,16,0.6154,speed,,,szr,data_S12.csv,0.0003
32,1,0.0882,speed,30.0,,zr,data_S19.csv,0.0
33,2,0.9412,speed,70.0,,zr,data_S19.csv,0.0
34,3,0.8955,speed,50.0,,zr,data_S19.csv,0.0
35,4,0.4751,accuracy,30.0,,zr,data_S19.csv,0.0
36,5,0.575,accuracy,50.0,,zr,data_S19.csv,0.0
37,6,0.725,accuracy,70.0,,zr,data_S19.csv,0.0
38,7,0.9663,speed,,,a,data_S19.csv,0.0
39,8,-2.0394,,,left,v,data_S19.csv,0.0
40,9,0.1607,speed,,,t0,data_S19.csv,0.0
41,10,0.0761,speed,,,szr,data_S19.csv,0.0
42,11,0.0458,,,,sv,data_S19.csv,0.0
43,12,0.2291,,,,st0,data_S19.csv,0.0
44,13,2.8785,,,right,v,data_S19.csv,0.0
45,14,1.142,accuracy,,,a,data_S19.csv,0.0
46,15,0.3035,accuracy,,,t0,data_S19.csv,0.0
47,16,0.0,accuracy,,,szr,data_S19.csv,0.0
48,1,0.5,accuracy,50.0,,zr,data_S8.csv,0.0
49,2,0.5476,accuracy,30.0,,zr,data_S8.csv,0.0
50,3,0.4755,accuracy,70.0,,zr,data_S8.csv,0.0
51,4,0.1071,speed,30.0,,zr,data_S8.csv,0.0
52,5,0.6072,speed,50.0,,zr,data_S8.csv,0.0
53,6,0.8929,speed,70.0,,zr,data_S8.csv,0.0
54,7,1.2114,accuracy,,,a,data_S8.csv,0.0
55,8,-1.4365,,,left,v,data_S8.csv,0.0
56,9,0.4185,accuracy,,,t0,data_S8.csv,0.0
57,10,0.0795,accuracy,,,szr,data_S8.csv,0.0
58,11,0.5704,,,,sv,data_S8.csv,0.0
59,12,0.2094,,,,st0,data_S8.csv,0.0
60,13,3.1973,,,right,v,data_S8.csv,0.0
61,14,0.7906,speed,,,a,data_S8.csv,0.0
62,15,0.2432,speed,,,t0,data_S8.csv,0.0
63,16,0.2093,speed,,,szr,data_S8.csv,0.0
64,1,0.5277,accuracy,50.0,,zr,data_S20.csv,0.0
65,2,0.5403,accuracy,70.0,,zr,data_S20.csv,0.0
66,3,0.6111,accuracy,30.0,,zr,data_S20.csv,0.0
67,4,0.3571,speed,30.0,,zr,data_S20.csv,0.0
68,5,0.3571,speed,70.0,,zr,data_S20.csv,0.0
69,6,0.4285,speed,50.0,,zr,data_S20.csv,0.0
70,7,1.0274,accuracy,,,a,data_S20.csv,0.0
71,8,-3.0726,,,left,v,data_S20.csv,0.0
72,9,0.3643,accuracy,,,t0,data_S20.csv,0.0
73,10,0.1633,accuracy,,,szr,data_S20.csv,0.0
74,11,0.2826,,,,sv,data_S20.csv,0.0
75,12,0.2325,,,,st0,data_S20.csv,0.0
76,13,1.9097,,,right,v,data_S20.csv,0.0
77,14,0.3993,speed,,,a,data_S20.csv,0.0
78,15,0.3281,speed,,,t0,data_S20.csv,0.0
79,16,0.7142,speed,,,szr,data_S20.csv,0.0
80,1,0.5715,speed,70.0,,zr,data_S15.csv,0.0
81,2,0.5358,speed,30.0,,zr,data_S15.csv,0.0
82,3,0.6071,speed,50.0,,zr,data_S15.csv,0.0
83,4,0.3889,accuracy,30.0,,zr,data_S15.csv,0.0
84,5,0.6111,accuracy,50.0,,zr,data_S15.csv,0.0
85,6,0.5278,accuracy,70.0,,zr,data_S15.csv,0.0
86,7,0.7906,speed,,,a,data_S15.csv,0.0
87,8,2.1481,,,right,v,data_S15.csv,0.0
88,9,0.1959,speed,,,t0,data_S15.csv,0.0
89,10,0.7683,speed,,,szr,data_S15.csv,0.0
90,11,0.9165,,,,sv,data_S15.csv,0.0
91,12,0.2639,,,,st0,data_S15.csv,0.0
92,13,-1.1372,,,left,v,data_S15.csv,0.0
93,14,1.0249,accuracy,,,a,data_S15.csv,0.0
94,15,0.2166,accuracy,,,t0,data_S15.csv,0.0
95,16,0.1594,accuracy,,,szr,data_S15.csv,0.0
96,1,0.5237,accuracy,50.0,,zr,data_S16.csv,0.0001
97,2,0.4048,accuracy,70.0,,zr,data_S16.csv,0.0001
98,3,0.5714,accuracy,30.0,,zr,data_S16.csv,0.0001
99,4,0.5,speed,50.0,,zr,data_S16.csv,0.0001
100,5,0.5417,speed,30.0,,zr,data_S16.csv,0.0001
101,6,0.4167,speed,70.0,,zr,data_S16.csv,0.0001
102,7,1.2543,accuracy,,,a,data_S16.csv,0.0001
103,8,2.1404,,,right,v,data_S16.csv,0.0001
104,9,0.4,accuracy,,,t0,data_S16.csv,0.0001
105,10,0.0,accuracy,,,szr,data_S16.csv,0.0001
106,11,1.1178,,,,sv,data_S16.csv,0.0001
107,12,0.1499,,,,st0,data_S16.csv,0.0001
108,13,-3.1625,,,left,v,data_S16.csv,0.0001
109,14,0.6854,speed,,,a,data_S16.csv,0.0001
110,15,0.3316,speed,,,t0,data_S16.csv,0.0001
111,16,0.6408,speed,,,szr,data_S16.csv,0.0001
112,1,0.4375,accuracy,70.0,,zr,data_S18.csv,0.0
113,2,0.4687,accuracy,50.0,,zr,data_S18.csv,0.0
114,3,0.4906,accuracy,30.0,,zr,data_S18.csv,0.0
115,4,0.625,speed,70.0,,zr,data_S18.csv,0.0
116,5,0.4167,speed,30.0,,zr,data_S18.csv,0.0
117,6,0.4583,speed,50.0,,zr,data_S18.csv,0.0
118,7,0.9357,accuracy,,,a,data_S18.csv,0.0
119,8,3.3805,,,right,v,data_S18.csv,0.0
120,9,0.3707,accuracy,,,t0,data_S18.csv,0.0
121,10,0.2969,accuracy,,,szr,data_S18.csv,0.0
122,11,0.9222,,,,sv,data_S18.csv,0.0
123,12,0.1321,,,,st0,data_S18.csv,0.0
124,13,-2.974,,,left,v,data_S18.csv,0.0
125,14,0.7315,speed,,,a,data_S18.csv,0.0
126,15,0.287,speed,,,t0,data_S18.csv,0.0
127,16,0.75,speed,,,szr,data_S18.csv,0.0
128,1,0.647,speed,50.0,,zr,data_S3.csv,0.0
129,2,0.2353,speed,30.0,,zr,data_S3.csv,0.0
130,3,0.7059,speed,70.0,,zr,data_S3.csv,0.0
