,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(high.Accuracy),0.9644026451136342,0.03652688831090547,0.8935422410144623,0.940120838591688,0.963957301280312,0.9890989947376116,1.0363219288542918,0.0005220451065032787
a(high.Speed),0.7081308000341179,0.036059536368589315,0.6371690371826956,0.6841553759200756,0.7083459022276187,0.7323686118189724,0.7798279363023854,0.0005600927515974789
a(low.Accuracy),1.1160664377834424,0.03680361433758376,1.044600458631242,1.0911864255870294,1.1165837913740324,1.1404254274275036,1.1883932061554447,0.00048229858514031905
a(low.Speed),0.779961829492628,0.035844253438128026,0.7106379200250735,0.7557500028956722,0.7796419191803734,0.8042245365671141,0.8503980795261191,0.0004919181185820834
a_std,0.14203094319476303,0.014484739006608214,0.11676217572831561,0.13180857866806922,0.14091037376918228,0.1509496736996237,0.17348310136850645,0.00019255057967313978
a_subj(high.Accuracy).S1,0.8933690429547587,0.0374727389797973,0.8234870047256359,0.8679681469649495,0.8918956243598065,0.9174093661780606,0.9689307658319543,0.0008374721180271908
a_subj(high.Accuracy).S10,0.8925645310075739,0.027470750401691755,0.8407832974435022,0.8737712966798514,0.8918356199327019,0.9103732810345542,0.9496404124206588,0.0006252642096920821
a_subj(high.Accuracy).S11,0.7413799002903212,0.030071068977917205,0.6853594576800792,0.7207627906661662,0.7404792523515786,0.7611479848304502,0.8022301334838129,0.0006525824653527041
a_subj(high.Accuracy).S12,1.0816925724962347,0.03763412946938634,1.0113851969612095,1.0557338705145725,1.0806828912968804,1.1064566991521645,1.1579963694769235,0.000731236239137896
a_subj(high.Accuracy).S13,0.791971177628256,0.035561496973165324,0.7239669628965644,0.7675559838166346,0.7904805521275441,0.8148132489625147,0.8651245154145757,0.0006977975463190378
a_subj(high.Accuracy).S14,1.0008589755998862,0.02984936528720111,0.9448886309679042,0.980120968309906,1.0004204673438197,1.0210876224705208,1.0603016264899656,0.0005545215242592223
a_subj(high.Accuracy).S15,0.9238608917492549,0.03990789533141212,0.8490074510910073,0.8964304014296867,0.9226592217702645,0.9508505799403902,1.0037898878032279,0.0008201853222803351
a_subj(high.Accuracy).S16,1.056143669633474,0.03840518602994902,0.9842207499358803,1.030023234517662,1.0547314700438355,1.0806508015198264,1.1368124350756055,0.0008802062986177988
a_subj(high.Accuracy).S2,0.8606291724616816,0.026716520517567528,0.810360501034187,0.8423449214107845,0.8597943344608602,0.878318435015431,0.9148972581894769,0.000541942329189251
a_subj(high.Accuracy).S3,1.0910009514567163,0.03683274333090952,1.0224618641568144,1.065679908903244,1.0898662076393364,1.1155720986351503,1.1668811361338083,0.0006257232359263918
a_subj(high.Accuracy).S4,0.986868902858534,0.031322456054494095,0.9274573797767351,0.9648462801053782,0.9864403788498216,1.0078562216795897,1.0492756809833041,0.000524352458559169
a_subj(high.Accuracy).S5,0.9382408229277183,0.0413237910536646,0.8604677500136331,0.9102242541859398,0.9371148787866835,0.9661858300614409,1.0215077139597162,0.000798975398613185
a_subj(high.Accuracy).S6,0.9753187861347896,0.03251749507402591,0.9142835458135499,0.9529329502235439,0.9746662973255575,0.9966727622613102,1.041722504983556,0.0006224042573608698
a_subj(high.Accuracy).S7,1.0367493562910048,0.030950186434587405,0.9775933764158368,1.0151873650400525,1.0359256143701931,1.0577127488709896,1.0989665853243906,0.0005427542105604672
a_subj(high.Accuracy).S8,1.1957680184349957,0.039975946004675016,1.1221507145701868,1.16748484446323,1.1951568795422953,1.2227164180478023,1.2787182849855625,0.0008509603029496019
a_subj(high.Accuracy).S9,0.8843505884653873,0.031218697270932832,0.826925542140788,0.8627043348191537,0.8836936044681887,0.904579595752875,0.9474578060123462,0.0005702303150161631
a_subj(high.Speed).S1,0.4963787069015358,0.0287046978929885,0.4428046165957053,0.4765099169334801,0.4953050432351572,0.5150612802930463,0.5553102865796908,0.0006096037673362742
a_subj(high.Speed).S10,0.5230195825624763,0.022407783636015154,0.4801821244152348,0.5077250818251771,0.522472301473904,0.5379327588589126,0.5682924625664076,0.00045233524249252004
a_subj(high.Speed).S11,0.527554341999787,0.027237055237542135,0.47680159384460197,0.5084527868805427,0.5269281657713565,0.5457208790610688,0.5835675902229878,0.0006157424892079081
a_subj(high.Speed).S12,0.6374704575059673,0.022219902520687267,0.5945435572808518,0.6223633246522268,0.6373631511730281,0.6522889651803593,0.6814121802162691,0.0005294652473508129
a_subj(high.Speed).S13,0.5684818341600781,0.030134959211019885,0.5118710014931677,0.5479500090698153,0.5674140798172418,0.5882518696133993,0.6299739465803855,0.0006291955889282288
a_subj(high.Speed).S14,1.047360978138032,0.03451821490294112,0.9820970425700954,1.0237122164394328,1.0464758956349764,1.0703738194004124,1.1166863632697743,0.0005519024378386638
a_subj(high.Speed).S15,0.7352767646454876,0.0375804830255732,0.6654690485340667,0.7093168887611696,0.7343719147921135,0.7600679003278399,0.8125498106374553,0.0007532646056236327
a_subj(high.Speed).S16,0.760637445388499,0.03453964274618415,0.6971432269394846,0.7363480383756753,0.759825287843886,0.7838387466463376,0.8307296601007732,0.0007160447557927362
a_subj(high.Speed).S2,0.6625927839572539,0.02468288211343805,0.6161168348877849,0.6454398517370189,0.6621414417491231,0.6784262708747408,0.7136781010604557,0.00043974509215595367
a_subj(high.Speed).S3,0.699029331410275,0.027171538349001566,0.6484984736636816,0.6796706042312928,0.6983607164983558,0.7169389491334758,0.7546985977224463,0.00049142298624215
a_subj(high.Speed).S4,0.9691904253386572,0.027351443839528516,0.9166481336034171,0.9504571323189929,0.9683585657996624,0.9872635006100433,1.0249293916239077,0.0005020884889188074
a_subj(high.Speed).S5,0.8327939142718411,0.05478505905411387,0.7316417125454033,0.795000227136124,0.829510730308344,0.8687613091618108,0.9461882510160213,0.0009284702905902286
a_subj(high.Speed).S6,0.7695647956988936,0.0332994016142377,0.7053955585694744,0.7468288752809423,0.7693338370854488,0.7916394704266145,0.8365537747194189,0.0006176769397394473
a_subj(high.Speed).S7,0.7635785831331691,0.029505182675742557,0.7073721340999104,0.7435327070718192,0.7626871209052999,0.7826548593806557,0.8246366627245622,0.00044985925587796486
a_subj(high.Speed).S8,0.8518482526832629,0.03498085746027102,0.7879470248982208,0.8269796987050707,0.8501463065529126,0.8743083090033508,0.9244309195991485,0.0007020215445599509
a_subj(high.Speed).S9,0.5678486779931511,0.030364829918449725,0.5114565954721416,0.5462417522869237,0.5669532067069273,0.5877873124349731,0.6299154236503632,0.0005871963334266229
a_subj(low.Accuracy).S1,1.1409337367178027,0.03981580241203756,1.066922824192246,1.113054688735262,1.1394093454817704,1.1668832559734374,1.222047832494781,0.0008116712268583131
a_subj(low.Accuracy).S10,1.0273830012076255,0.02824197947771873,0.9743056429295796,1.007864045005588,1.0268380759079705,1.0463527844865084,1.0846115656219313,0.0005897963700281512
a_subj(low.Accuracy).S11,0.9611037922535045,0.028969026350581933,0.9064428960125972,0.9408059979319361,0.9608154393034147,0.9805375703797101,1.0191846886422553,0.0005699183323126671
a_subj(low.Accuracy).S12,1.1154212088570974,0.03510266929763866,1.0484870180096968,1.0914705562843554,1.114799143990119,1.1387912266815943,1.185830926013018,0.0008408422472075853
a_subj(low.Accuracy).S13,1.0644463645818034,0.038420769752152514,0.9941224744914543,1.0380438260065727,1.0624651336576945,1.0899541126070418,1.1436618499246691,0.0008145964029276292
a_subj(low.Accuracy).S14,1.1386983820415226,0.029836344251847703,1.0825756877734818,1.1185426976943684,1.138084187631793,1.1585083443018958,1.198359442550052,0.0005986533521540971
a_subj(low.Accuracy).S15,1.0578676165371241,0.03248729675943558,0.9961110113321507,1.0361372723132458,1.0571953599919066,1.0789770396786569,1.1235371291975735,0.0006082887056778947
a_subj(low.Accuracy).S16,0.8226496462263604,0.02628456512465216,0.7712385823159973,0.8047954398116458,0.8221705121570442,0.8398811982442886,0.8759741699519634,0.0005155868696625539
a_subj(low.Accuracy).S2,1.288332863989652,0.03829702722937954,1.2156948455676764,1.2615816738254952,1.287372751486822,1.31392973424556,1.3657966634869425,0.0006369533695570998
a_subj(low.Accuracy).S3,1.1849037849704953,0.03380797456622442,1.1203492690725037,1.161962097808644,1.1838599300565154,1.2067543410822235,1.254945495541177,0.0007248516744253786
