,mean,std,2.5q,25q,50q,75q,97.5q,mc err
sv,0.7405977684731407,0.07420074493169912,0.5933487497646829,0.6915287724670307,0.7412480936449566,0.7908780450794988,0.8852565244773309,0.0028416973563059078
sz(0),0.11040849238428062,0.0671351375413777,0.006053115437673278,0.054045950651651214,0.10716364110591026,0.16028564537067627,0.24407316254382871,0.0029798163840470313
sz(1),0.6120860575966459,0.028830109674518486,0.5528933119210155,0.5931251070772566,0.6129126808183281,0.6322674087917615,0.6651749722312078,0.0012082122734331734
st,0.12262574421927802,0.002184460252120441,0.11820657547625316,0.12116851323701935,0.12264662022849881,0.12406567120263176,0.12679963450338574,9.297167998816356e-05
t_Intercept,0.3012044714866268,0.010753972702667916,0.2804818685674654,0.29411170539281783,0.3008479277162179,0.30780042547903036,0.3233462176599706,0.0001604991783297639
t_Intercept_std,0.04096618862885764,0.008965988795597322,0.027991526839387902,0.034775644164172004,0.039461840818740455,0.045424900271649096,0.06289274570468278,0.0001271483543814056
t_Intercept_subj.S1,0.2953098323459459,0.003931608178357396,0.28741980303382514,0.2926927399473441,0.29541561189726767,0.29806124743260803,0.30276406490932106,0.00014798666937849446
t_Intercept_subj.S10,0.3334577067661922,0.003404420255410672,0.32662336861425373,0.33120045181005436,0.33356586016681594,0.33581526141877793,0.3398259132520495,0.00012138048005543951
t_Intercept_subj.S11,0.28438664127472635,0.003579877560550095,0.2774834637609191,0.2819632074399645,0.2843388178862717,0.28681029101848127,0.29147201385535076,0.00012541047832023054
t_Intercept_subj.S12,0.3309628997209954,0.00424759117330614,0.3228286131707138,0.3280985373184469,0.3308926249351164,0.33385494892981804,0.3394140587790738,0.00022099519553641102
t_Intercept_subj.S13,0.22135366993954766,0.0035414552346180674,0.21397441418101826,0.21896733139055266,0.2214893677342455,0.22390324643679269,0.22774515675769652,0.00018185028666929784
t_Intercept_subj.S14,0.36356288514501545,0.004470607645449607,0.3547493909912716,0.3606149053572434,0.3635037752914674,0.36661778285678354,0.3723447940938935,0.00024322387083400987
t_Intercept_subj.S15,0.31639365443713446,0.004681023332968261,0.30693977248620485,0.3132480290510219,0.31658702482558293,0.3196001776644678,0.3253013241823858,0.00014028295415960098
t_Intercept_subj.S16,0.3260067117557962,0.0033930693362090084,0.3192652353544481,0.3237012249044368,0.3260773657817351,0.3283177680736236,0.33247666190923475,0.00011746036096860343
t_Intercept_subj.S2,0.3234600843387958,0.0042462182831517255,0.31470387779633213,0.3206522188394492,0.3236069788547692,0.32640074556613946,0.3313532203739888,0.00016643218221843158
t_Intercept_subj.S3,0.32434572665006844,0.004338942809772205,0.3156401132881398,0.32140741821936103,0.3243478903841227,0.3273978254204532,0.33265054583700454,0.00018058146714726607
t_Intercept_subj.S4,0.28067997809147593,0.004452173420088893,0.2718338999389689,0.2777042315655169,0.2807008839835981,0.28363943184643003,0.2894562154523397,0.00017021018057617122
t_Intercept_subj.S5,0.29593527218977145,0.0048867820118509205,0.28607013866257075,0.2927205711485003,0.2960630497024791,0.299319363217009,0.3051836306250035,0.00015434252418071865
t_Intercept_subj.S6,0.266496311906649,0.004617117484433965,0.2570574682979491,0.26345477649400195,0.2665002298446132,0.2696190401269631,0.27555979975605227,0.0001700558511361787
t_Intercept_subj.S7,0.2476352453048832,0.004869322362709801,0.23768499560449033,0.24448669032645826,0.24773877255415705,0.250943395930918,0.2568721925247475,0.00014273191612885602
t_Intercept_subj.S8,0.3086939941210677,0.004727273896640171,0.2988674490360886,0.30562270640160644,0.30891648157072665,0.3119766214624789,0.31764213394494634,0.00018618557674705415
t_Intercept_subj.S9,0.2837824734899433,0.0036790982595931348,0.27633858314324156,0.28140512955568897,0.2838397192098327,0.28627436177779086,0.2909123170563766,0.00013277965948372213
t_SAT,-0.05045734178936183,0.013783829449237714,-0.07781678244414963,-0.05922134165799861,-0.0503670275778362,-0.04179454123318528,-0.02280931439599767,0.00016144596999837426
t_SAT_std,0.053416578026381833,0.0110520058992035,0.03687110074580892,0.045507146431228426,0.05180625146400168,0.05937769852639829,0.07949692847443657,0.0001601088156259695
t_SAT_subj.S1,-0.04272190695868674,0.004540157285984461,-0.051463004152557695,-0.04582917312365748,-0.042725089699287636,-0.03965752708811854,-0.03391933780132618,0.00016620897086061748
t_SAT_subj.S10,-0.0188939471516003,0.00422123954916157,-0.027130361439771926,-0.021707144173403994,-0.01895779160474793,-0.016051119979414108,-0.010501077805423264,0.00014310012344651861
t_SAT_subj.S11,-0.009071425405583994,0.004661993593552938,-0.018426135180777167,-0.01208992569937895,-0.00903057099396715,-0.005921581946041329,-8.797191409812798e-05,0.00015055322335129378
t_SAT_subj.S12,-0.0853269411533327,0.004543346525910339,-0.0944014674553801,-0.08832977762132432,-0.08529703172018606,-0.08227385748120092,-0.07659438281453229,0.0002279263429860603
t_SAT_subj.S13,-0.048855208804144463,0.004330950577283743,-0.05719098650473954,-0.05180880978886264,-0.04889799751747699,-0.045880495934675476,-0.04038100855865668,0.00020919864332574487
t_SAT_subj.S14,-0.12257517213743353,0.004911099969744621,-0.132279592666531,-0.12586244235543068,-0.1225481848367255,-0.11940717913027248,-0.11306877445287201,0.0002604280316105054
t_SAT_subj.S15,-0.025937618266548692,0.00638534195744711,-0.03851069004791628,-0.03026720265221603,-0.025916004012079955,-0.021602649875540666,-0.013669593269215933,0.0001908395063469767
t_SAT_subj.S16,-0.03313199258148181,0.004668383982817914,-0.04249758543738334,-0.03625397582239312,-0.033078604363734485,-0.02995634567402706,-0.024073251591495252,0.00014637606617385755
t_SAT_subj.S2,-0.12970991164863963,0.005145810335761779,-0.13943553514201346,-0.13324444311612563,-0.12971022238310526,-0.1261294845225012,-0.11980567138761271,0.0002014217187479072
t_SAT_subj.S3,-0.07128549263709338,0.00493125217053096,-0.0811269902329994,-0.07465112702099974,-0.07125795933906538,-0.06787742266541583,-0.06179492784335416,0.00019426130184486105
t_SAT_subj.S4,-0.1491240320246043,0.0052667932430407296,-0.1597975826616318,-0.15261582389145276,-0.14904977687834653,-0.14556369497156207,-0.13909043630771617,0.00019628456446752932
t_SAT_subj.S5,0.01041376763324412,0.00662257916253669,-0.002339246739283945,0.005835064946887779,0.010425495216565012,0.014833072643939774,0.02342414354741058,0.000209535722689814
t_SAT_subj.S6,-0.009016874835992974,0.005775515371234463,-0.020504491638867414,-0.012840551310958882,-0.0089513136187912,-0.005098916231975031,0.002239187108577682,0.0001971603300214149
t_SAT_subj.S7,0.0023429457710698685,0.006094430011609819,-0.009103454112260947,-0.001873511017851071,0.002177110867666368,0.006393762924519809,0.014607220612094522,0.00017264806498307786
t_SAT_subj.S8,-0.02398974372667595,0.0057083990134188835,-0.03510897262545175,-0.027807168226750598,-0.024046699431913447,-0.020318110082486813,-0.012355890049413242,0.00021382371027498168
t_SAT_subj.S9,-0.04942981733587339,0.004306103974846175,-0.057669919812908865,-0.05235900036633006,-0.04946581754273707,-0.04655201237658954,-0.040952012830027,0.0001506930667509584
t_FC,-0.004205793937474563,0.005410784352605169,-0.014826861519769845,-0.00769146035969374,-0.0041895099292729825,-0.0007080633854642494,0.006494608439034594,9.81254319742638e-05
t_FC_std,0.019731787299895005,0.004760244891803568,0.012502395956830784,0.01637320658274257,0.019057183436375184,0.022333233033875993,0.030759123934426813,0.00012435689805089775
t_FC_subj.S1,-0.017175211034605592,0.006698934147598635,-0.03030717921329339,-0.02175558257398609,-0.01706451953203139,-0.012657143951494318,-0.004159969330869432,0.00024075901791512487
t_FC_subj.S10,0.007672823299717139,0.0055888773718194085,-0.003172843260520477,0.003920785845737813,0.007625220465732151,0.011433766103701212,0.018573948634120627,0.0001568024448553869
t_FC_subj.S11,0.003856463139533148,0.006064783593349115,-0.008016167584973736,-0.00024658088316947303,0.0038839617814306433,0.007924483278838051,0.016019629991770937,0.0001682830613090293
t_FC_subj.S12,-0.012739344776673323,0.006471269541498439,-0.025494298212818196,-0.017107295556239813,-0.01264241324280542,-0.008371322140311822,-2.8095399474821828e-05,0.0002279892990180421
