,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(high.Accuracy),1.0589865268891656,0.03680093004574318,0.9871614937024673,1.034594534960041,1.0590242202075921,1.0834898353924727,1.1302710985766198,0.0004578244147710409
a(high.Speed),0.7422512167279692,0.03612854580226342,0.6702980456267422,0.718377386868985,0.742394230379624,0.7664392007409221,0.8132314454093517,0.00042553947361553433
a(low.Accuracy),1.113048587898059,0.037034862413074285,1.0415440327668215,1.0880009011734832,1.1130253761559454,1.137653305280685,1.1873071696880757,0.00047299430542682073
a(low.Speed),0.7734825378410592,0.03521729113844121,0.7040683895465656,0.7500464163794741,0.7734524977361174,0.7964554975545883,0.843041679992484,0.0004101060083858543
a_std,0.14322687182772748,0.01480306193238989,0.11780304584455009,0.13290390812760117,0.14188926905398047,0.1523235488982702,0.17500242439170105,0.00021305149892819207
a_subj(high.Accuracy).S1,1.1344025059889533,0.04477282425636543,1.0509008954465058,1.1036163599738964,1.1335470062022837,1.1637791235711756,1.2259807615027447,0.0007526986239513999
a_subj(high.Accuracy).S10,0.8852701403901676,0.027099415308632198,0.8344394688422015,0.866935825224704,0.8843102734724311,0.902963136733357,0.9408006911465965,0.0005587794596902649
a_subj(high.Accuracy).S11,0.8204212742400625,0.032909398171563915,0.759313331269006,0.7975118234268319,0.8189651648962463,0.8420029361758614,0.8883531234223057,0.0006113986420778387
a_subj(high.Accuracy).S12,1.288663247580194,0.044110009254437504,1.2049759594302372,1.2583466838938195,1.2877674756230668,1.3179020175209222,1.37792881447754,0.0007192765669439251
a_subj(high.Accuracy).S13,0.8941657374036284,0.04572960957491395,0.8089830204095082,0.8630103205232118,0.8921200775391729,0.9236533920483025,0.9875942060349754,0.0008435559020085704
a_subj(high.Accuracy).S14,1.1359634659980176,0.03398389003570836,1.072579917152693,1.1127553053421901,1.1346563937405503,1.1589046039844526,1.205506917805839,0.000502077459624146
a_subj(high.Accuracy).S15,1.0163087196013307,0.04595149815235484,0.9308245994933506,0.9843541666209903,1.015250934427458,1.0460261849104873,1.1113201623327795,0.0007719481140296243
