,mean,std,2.5q,25q,50q,75q,97.5q,mc err
sv,0.5835913097409073,0.07549911435432753,0.42741520808588884,0.5354935840815176,0.5863959627442482,0.634176868372388,0.7247644634819489,0.002783947067708471
sz(0),0.06525950103875337,0.04721497668005518,0.002536784784075132,0.02600598663180293,0.05705591172610382,0.09602388985744581,0.17254885779396123,0.0011590087920415912
sz(1),0.47195750012368626,0.030201727850119334,0.4107332897696902,0.4516351796109838,0.47323504121129495,0.4929142069025603,0.5287056741095942,0.001190023866653991
st,0.14108508487267546,0.002613423632663911,0.1359625689892125,0.13937266005244067,0.14112060864862758,0.14286567917800108,0.14610990915322797,0.00014489325089124934
t_Intercept,0.4145571650610858,0.012183786050839338,0.39117639555710887,0.4064638280582527,0.414217118610683,0.4224163263981998,0.4395425719291818,0.0001381342801145103
t_Intercept_std,0.04763975323480244,0.010008932020403247,0.03251036224026749,0.040531078310273486,0.04611670353848415,0.052940127225410444,0.07121536238013118,0.00014945571939732562
t_Intercept_subj.S1,0.4210526307861892,0.004077367291735771,0.41301877161587675,0.4183846728272818,0.421117731970077,0.4238079224145526,0.4290109521993729,0.00016444513973853117
t_Intercept_subj.S10,0.4301458112048637,0.0034420495120842274,0.4231320537599558,0.42795044679518873,0.4302197869314384,0.4324028222271405,0.4367546586669739,0.00012118445413903521
t_Intercept_subj.S11,0.39956732803393125,0.004019709230150478,0.3916747218376445,0.39680022297315903,0.39958401249182607,0.4023246222622626,0.40729060134689976,0.0001360797896884165
t_Intercept_subj.S12,0.4495326206353635,0.00418014129455066,0.44114466913482264,0.4467841691591011,0.44952012326584767,0.4524056413144045,0.45755115370258237,0.00018261964842865915
t_Intercept_subj.S13,0.41616874942789145,0.004651925299134242,0.40688685713429346,0.41315925054347447,0.41622984797029433,0.41932376508639013,0.42502929318297056,0.00031103370752116167
t_Intercept_subj.S14,0.47694312072688855,0.004638149777351746,0.46700197897644846,0.47394179889889776,0.47713513223668896,0.48014780241642324,0.48554700793671657,0.0003102332568888025
t_Intercept_subj.S15,0.4816022813638554,0.005280433485754055,0.47086665203707706,0.4781676427270974,0.4817472783526917,0.48523990266376454,0.49150764188567686,0.00016776800963916183
t_Intercept_subj.S16,0.44186836297207127,0.004040650244149577,0.4335578405129365,0.4392009627774671,0.44197810407830895,0.44467719589902016,0.44947357535196086,0.0001297855351790651
t_Intercept_subj.S2,0.4212800329574391,0.0047974621665304055,0.4112213886412111,0.4182744296290104,0.4214278926579834,0.42454831126783854,0.43015398962277224,0.00020598622970478394
t_Intercept_subj.S3,0.43321104350426065,0.004838886980589805,0.42352620574205274,0.42996867445878184,0.4332757273096853,0.436563635475396,0.44253254906587985,0.00018687564099660736
t_Intercept_subj.S4,0.3710794640436837,0.004481270215586579,0.36228028408728685,0.36808064622135644,0.3711205001397167,0.3741666105382809,0.37962852627373794,0.0001604917705925614
t_Intercept_subj.S5,0.42521795187726247,0.005452201182684926,0.41440467751360316,0.42159825862377254,0.4252449680965318,0.4288991050842195,0.43587133369519965,0.0001706484508038464
