intensity,corr_ans,partial_trigger
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
.23,left,11
.37,left,12
.51,left,13
.65,left,14
.79,left,15
.930,left,16
.23,right,21
.37,right,22
.51,right,23
.65,right,24
.79,right,25
.930,right,26
